Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
2012,Tennessee,"13,437.25","13,346.90","26,784.15","6,741.65","6,798.70","13,540.35"
2013,Tennessee,"13,703.98","14,149.08","27,853.06","6,794.72","7,045.58","13,840.30"
2014,Tennessee,"14,252.73","15,213.94","29,466.67","6,898.68","7,401.52","14,300.20"
2015,Tennessee,"14,371.60","16,654.63","31,026.23","6,885.15","7,862.47","14,747.62"
2016,Tennessee,"14,843.35","17,828.67","32,672.02","7,213.64","8,251.80","15,465.44"
2017,Tennessee,"15,055.74","19,059.44","34,115.18","7,333.14","8,647.33","15,980.47"
2018,Tennessee,"15,583.28","20,055.14","35,638.42","7,567.47","8,911.03","16,478.50"
2019,Tennessee,"15,957.11","21,187.41","37,144.52","7,696.04","9,133.34","16,829.38"
2020,Tennessee,"19,072.64","19,755.53","38,828.17","8,885.95","8,289.74","17,175.69"
2021,Tennessee,"20,166.22","23,878.29","44,044.51","9,083.46","9,646.68","18,730.14"
2022,Tennessee,"22,677.33","27,147.89","49,825.22","9,170.98","10,176.75","19,347.73"
2023,Tennessee,"23,391.23","29,202.75","52,593.98","8,979.82","10,220.04","19,199.86"
2024,Tennessee,"23,969.47","30,371.18","54,340.65","9,088.76","10,231.39","19,320.15"
1997,Texas,"29,547.89","23,804.09","53,351.98","21,975.41","18,278.67","40,254.08"
1998,Texas,"30,046.43","25,565.33","55,611.76","22,020.07","19,127.12","41,147.19"
1999,Texas,"31,802.34","27,046.72","58,849.06","22,942.98","19,752.50","42,695.48"
2000,Texas,"33,504.83","29,278.08","62,782.91","23,538.98","20,908.04","44,447.02"
2001,Texas,"35,109.48","30,657.74","65,767.22","23,980.75","21,321.06","45,301.81"
2002,Texas,"35,339.02","32,156.84","67,495.86","23,827.54","21,866.65","45,694.19"
2003,Texas,"35,598.73","34,105.54","69,704.27","23,495.16","22,650.67","46,145.83"
2004,Texas,"37,706.59","36,548.18","74,254.77","23,942.34","23,544.72","47,487.06"
2005,Texas,"40,124.06","38,779.70","78,903.76","24,969.45","24,279.47","49,248.92"
2006,Texas,"42,271.84","41,813.14","84,084.98","25,805.48","25,399.15","51,204.63"
2007,Texas,"44,698.34","44,767.49","89,465.83","26,188.44","26,295.53","52,483.97"
2008,Texas,"47,467.81","47,275.02","94,742.83","26,058.90","26,546.45","52,605.35"
2009,Texas,"47,489.34","48,276.26","95,765.60","25,873.71","26,159.04","52,032.75"
2010,Texas,"49,035.39","49,888.30","98,923.69","26,559.69","26,692.35","53,252.04"
2011,Texas,"51,937.76","53,516.06","105,453.82","26,761.89","28,010.38","54,772.27"
2012,Texas,"53,975.48","56,703.49","110,678.97","27,080.23","28,883.88","55,964.11"
2013,Texas,"56,317.49","61,256.51","117,574.00","27,923.39","30,502.90","58,426.29"
2014,Texas,"59,443.29","66,314.48","125,757.77","28,772.04","32,261.74","61,033.78"
2015,Texas,"60,902.03","72,886.88","133,788.91","29,176.95","34,409.11","63,586.06"
2016,Texas,"62,825.51","78,003.16","140,828.67","30,532.21","36,102.88","66,635.09"
2017,Texas,"65,402.83","82,971.05","148,373.88","31,855.52","37,644.22","69,499.74"
2018,Texas,"68,008.65","87,738.77","155,747.42","33,025.98","38,984.68","72,010.66"
2019,Texas,"70,520.91","93,131.23","163,652.14","34,011.88","40,146.45","74,158.33"
2020,Texas,"77,112.12","86,189.28","163,301.40","35,926.58","36,166.43","72,093.01"
2021,Texas,"82,982.77","105,682.33","188,665.10","37,377.88","42,695.00","80,072.88"
2022,Texas,"94,291.98","121,283.19","215,575.17","38,132.79","45,464.62","83,597.41"
2023,Texas,"97,575.52","131,478.13","229,053.65","37,458.95","46,013.17","83,472.12"
2024,Texas,"101,176.82","136,904.11","238,080.93","38,364.31","46,120.02","84,484.33"
1997,Utah,"3,106.38","2,231.26","5,337.64","2,221.02","1,741.40","3,962.42"
1998,Utah,"3,271.42","2,360.90","5,632.32","2,269.33","1,794.65","4,063.98"
1999,Utah,"3,530.00","2,465.77","5,995.77","2,400.07","1,834.78","4,234.85"
2000,Utah,"3,695.80","2,653.65","6,349.45","2,462.46","1,931.39","4,393.85"
2001,Utah,"3,913.34","2,792.53","6,705.87","2,502.82","1,970.23","4,473.05"
2002,Utah,"3,989.18","2,947.44","6,936.62","2,504.53","2,013.13","4,517.66"
2003,Utah,"4,230.10","3,090.93","7,321.03","2,586.05","2,070.99","4,657.04"
2004,Utah,"4,616.91","3,330.64","7,947.55","2,721.05","2,165.01","4,886.06"
2005,Utah,"4,906.07","3,523.55","8,429.62","2,865.36","2,211.22","5,076.58"
2006,Utah,"5,318.65","3,786.23","9,104.88","3,069.37","2,308.35","5,377.72"
2007,Utah,"5,707.36","4,072.03","9,779.39","3,145.58","2,396.69","5,542.27"
2008,Utah,"6,145.22","4,282.59","10,427.81","3,190.10","2,428.24","5,618.34"
2009,Utah,"6,090.87","4,284.44","10,375.31","3,185.07","2,355.89","5,540.96"
2010,Utah,"6,140.97","4,440.83","10,581.80","3,230.66","2,413.57","5,644.23"
2011,Utah,"6,462.48","4,735.08","11,197.56","3,241.40","2,517.00","5,758.40"
2012,Utah,"6,670.35","5,037.88","11,708.23","3,286.37","2,598.45","5,884.82"
2013,Utah,"6,827.53","5,407.96","12,235.49","3,333.97","2,731.80","6,065.77"
2014,Utah,"7,116.04","5,848.53","12,964.57","3,380.47","2,883.11","6,263.58"
2015,Utah,"7,488.80","6,454.53","13,943.33","3,498.90","3,092.94","6,591.84"
2016,Utah,"7,912.61","6,945.57","14,858.18","3,739.85","3,222.48","6,962.33"
2017,Utah,"8,560.68","7,496.54","16,057.22","4,058.71","3,367.72","7,426.43"
2018,Utah,"8,973.17","7,972.49","16,945.66","4,235.77","3,463.53","7,699.30"
2019,Utah,"9,339.13","8,449.59","17,788.72","4,342.34","3,544.77","7,887.11"
2020,Utah,"9,995.66","8,175.13","18,170.79","4,469.38","3,279.40","7,748.78"
2021,Utah,"11,014.09","10,089.40","21,103.49","4,718.94","3,859.14","8,578.08"
2022,Utah,"11,869.86","11,452.16","23,322.02","4,564.98","4,082.95","8,647.93"
2023,Utah,"12,357.74","12,303.74","24,661.48","4,542.40","4,082.38","8,624.78"
2024,Utah,"12,895.31","12,933.47","25,828.78","4,674.59","4,101.68","8,776.27"
1997,Vermont,905.91,640.35,"1,546.26",668.75,507.14,"1,175.89"
1998,Vermont,919.21,662.01,"1,581.22",668.62,511.48,"1,180.10"
1999,Vermont,954.73,692.32,"1,647.05",679.91,519.96,"1,199.87"
2000,Vermont,978.91,735.88,"1,714.79",686.04,541.1,"1,227.14"
2001,Vermont,"1,013.39",784.48,"1,797.87",688.32,560.21,"1,248.53"
2002,Vermont,"1,056.03",817.04,"1,873.07",709.58,569.31,"1,278.89"
2003,Vermont,"1,076.72",846.34,"1,923.06",707.51,577.63,"1,285.14"
2004,Vermont,"1,113.70",906.05,"2,019.75",700.85,602.13,"1,302.98"
2005,Vermont,"1,168.20",938.83,"2,107.03",716.21,606.69,"1,322.90"
2006,Vermont,"1,224.89",990.22,"2,215.11",734.32,617.48,"1,351.80"
2007,Vermont,"1,259.55","1,013.39","2,272.94",726.73,606.35,"1,333.08"
2008,Vermont,"1,355.01","1,023.33","2,378.34",736.19,585.98,"1,322.17"
2009,Vermont,"1,321.29","1,015.03","2,336.32",710.85,562.08,"1,272.93"
2010,Vermont,"1,336.23","1,064.72","2,400.95",712.15,580.55,"1,292.70"
2011,Vermont,"1,404.79","1,107.04","2,511.83",717.81,589.16,"1,306.97"
2012,Vermont,"1,409.01","1,168.83","2,577.84",700.76,605.79,"1,306.55"
2013,Vermont,"1,409.42","1,240.86","2,650.28",695.15,632.47,"1,327.62"
2014,Vermont,"1,440.37","1,338.34","2,778.71",698.5,667.45,"1,365.95"
2015,Vermont,"1,429.15","1,451.88","2,881.03",683.62,707.62,"1,391.24"
2016,Vermont,"1,446.13","1,529.84","2,975.97",701.12,726.28,"1,427.40"
2017,Vermont,"1,458.13","1,633.72","3,091.85",705.84,757.77,"1,463.61"
2018,Vermont,"1,498.91","1,697.55","3,196.46",716.75,766.21,"1,482.96"
2019,Vermont,"1,518.91","1,746.66","3,265.57",720.54,766.4,"1,486.94"
2020,Vermont,"1,575.42","1,451.32","3,026.74",722.59,614.58,"1,337.17"
2021,Vermont,"1,664.38","1,826.91","3,491.29",745.88,738.46,"1,484.34"
2022,Vermont,"1,814.65","2,054.43","3,869.08",738.47,776.92,"1,515.39"
2023,Vermont,"1,818.96","2,192.51","4,011.47",706.45,775.86,"1,482.31"
2024,Vermont,"1,828.90","2,280.55","4,109.45",703.95,773.29,"1,477.24"
1997,Virginia,"10,506.75","8,146.87","18,653.62","7,814.10","6,255.82","14,069.92"
1998,Virginia,"10,658.07","8,439.67","19,097.74","7,810.96","6,314.28","14,125.24"
1999,Virginia,"11,290.25","8,835.36","20,125.61","8,145.06","6,452.55","14,597.61"
2000,Virginia,"11,758.07","9,576.67","21,334.74","8,260.68","6,838.88","15,099.56"
2001,Virginia,"12,192.59","10,090.75","22,283.34","8,327.88","7,017.66","15,345.54"
2002,Virginia,"12,436.23","10,441.95","22,878.18","8,385.20","7,100.53","15,485.73"
2003,Virginia,"12,755.97","11,037.49","23,793.46","8,418.94","7,330.38","15,749.32"
2004,Virginia,"13,522.15","11,966.78","25,488.93","8,586.08","7,709.12","16,295.20"
2005,Virginia,"14,407.50","12,794.70","27,202.20","8,965.87","8,010.60","16,976.47"
2006,Virginia,"15,360.38","13,637.75","28,998.13","9,376.98","8,284.17","17,661.15"
2007,Virginia,"16,311.93","14,378.86","30,690.79","9,557.04","8,445.85","18,002.89"
2008,Virginia,"16,944.92","14,877.29","31,822.21","9,302.43","8,354.08","17,656.51"
2009,Virginia,"16,545.12","14,878.03","31,423.15","9,014.31","8,061.83","17,076.14"
2010,Virginia,"16,992.50","15,187.20","32,179.70","9,203.87","8,125.79","17,329.66"
2011,Virginia,"17,942.02","16,141.37","34,083.39","9,244.96","8,448.41","17,693.37"
2012,Virginia,"18,291.40","16,837.30","35,128.70","9,177.04","8,576.66","17,753.70"
2013,Virginia,"18,796.70","17,582.53","36,379.23","9,319.79","8,755.28","18,075.07"
2014,Virginia,"19,545.68","18,728.24","38,273.92","9,460.60","9,111.21","18,571.81"
2015,Virginia,"19,747.33","20,366.79","40,114.12","9,460.55","9,614.94","19,075.49"
2016,Virginia,"20,073.86","21,729.40","41,803.26","9,755.58","10,057.21","19,812.79"
2017,Virginia,"20,882.61","23,083.52","43,966.13","10,171.22","10,473.06","20,644.28"
2018,Virginia,"21,291.40","24,030.62","45,322.02","10,339.41","10,677.44","21,016.85"
2019,Virginia,"21,709.96","24,894.59","46,604.55","10,470.60","10,731.41","21,202.01"
2020,Virginia,"23,236.90","21,658.61","44,895.51","10,826.08","9,088.31","19,914.39"
2021,Virginia,"24,796.45","25,707.07","50,503.52","11,169.05","10,385.50","21,554.55"
2022,Virginia,"27,075.77","30,664.62","57,740.39","10,949.76","11,495.04","22,444.80"
2023,Virginia,"26,674.15","32,816.20","59,490.35","10,240.13","11,484.63","21,724.76"
2024,Virginia,"26,467.35","33,985.11","60,452.46","10,035.91","11,448.84","21,484.75"
1997,Washington,"8,721.66","6,612.95","15,334.61","6,235.88","5,161.12","11,397.00"
1998,Washington,"9,054.84","7,031.42","16,086.26","6,281.19","5,344.95","11,626.14"
1999,Washington,"9,773.15","7,418.62","17,191.77","6,644.83","5,520.19","12,165.02"
2000,Washington,"10,532.95","7,949.84","18,482.79","7,017.95","5,786.09","12,804.04"
2001,Washington,"10,975.52","8,218.75","19,194.27","7,019.51","5,798.62","12,818.13"
2002,Washington,"11,195.44","8,451.49","19,646.93","7,028.85","5,772.45","12,801.30"
2003,Washington,"11,589.44","8,967.60","20,557.04","7,085.14","6,008.49","13,093.63"
2004,Washington,"12,500.20","9,569.57","22,069.77","7,367.20","6,220.48","13,587.68"
2005,Washington,"13,633.29","10,317.09","23,950.38","7,962.44","6,474.53","14,436.97"
2006,Washington,"14,665.53","11,108.02","25,773.55","8,463.40","6,772.22","15,235.62"
2007,Washington,"15,714.45","11,849.10","27,563.55","8,660.93","6,974.07","15,635.00"
2008,Washington,"16,887.25","12,266.69","29,153.94","8,766.49","6,955.26","15,721.75"
2009,Washington,"16,814.66","11,996.23","28,810.89","8,792.81","6,596.39","15,389.20"
2010,Washington,"17,820.22","12,310.70","30,130.92","9,374.91","6,690.81","16,065.72"
2011,Washington,"19,507.24","13,039.91","32,547.15","9,784.30","6,931.54","16,715.84"
2012,Washington,"21,383.56","13,747.15","35,130.71","10,535.33","7,090.55","17,625.88"
2013,Washington,"23,212.31","14,887.67","38,099.98","11,334.86","7,520.42","18,855.28"
2014,Washington,"26,042.32","16,472.80","42,515.12","12,371.40","8,120.49","20,491.89"
2015,Washington,"27,952.11","18,511.82","46,463.93","13,059.74","8,870.65","21,930.39"
2016,Washington,"30,838.13","20,440.42","51,278.55","14,575.46","9,483.57","24,059.03"
2017,Washington,"36,614.74","22,973.85","59,588.59","17,359.46","10,320.68","27,680.14"
2018,Washington,"37,067.92","24,074.29","61,142.21","17,497.85","10,458.73","27,956.58"
2019,Washington,"39,315.80","25,240.18","64,555.98","18,280.36","10,588.74","28,869.10"
2020,Washington,"43,687.02","21,964.14","65,651.16","19,533.85","8,810.78","28,344.63"
2021,Washington,"45,763.21","27,218.03","72,981.24","19,607.03","10,410.75","30,017.78"
2022,Washington,"28,282.61","29,235.48","57,518.09","10,877.10","10,423.10","21,300.20"
2023,Washington,"27,964.79","32,599.41","60,564.20","10,279.16","10,816.48","21,095.64"
2024,Washington,"27,920.21","34,918.67","62,838.88","10,121.15","11,073.99","21,195.14"
1997,West Virginia,"2,180.02","1,688.63","3,868.65","1,621.33","1,296.66","2,917.99"
1998,West Virginia,"2,244.87","1,766.78","4,011.65","1,645.20","1,321.85","2,967.05"
1999,West Virginia,"2,368.38","1,778.34","4,146.72","1,708.61","1,298.74","3,007.35"
2000,West Virginia,"2,410.30","1,883.06","4,293.36","1,693.36","1,344.73","3,038.09"
2001,West Virginia,"2,482.60","1,938.90","4,421.50","1,695.69","1,348.42","3,044.11"
2002,West Virginia,"2,547.51","2,020.94","4,568.45","1,717.67","1,374.24","3,091.91"
2003,West Virginia,"2,634.09","2,140.06","4,774.15","1,738.50","1,421.29","3,159.79"
2004,West Virginia,"2,853.14","2,268.83","5,121.97","1,811.64","1,461.60","3,273.24"
2005,West Virginia,"3,056.60","2,358.50","5,415.10","1,902.14","1,476.62","3,378.76"
2006,West Virginia,"3,246.48","2,504.97","5,751.45","1,981.86","1,521.63","3,503.49"
2007,West Virginia,"3,427.23","2,589.56","6,016.79","2,007.99","1,521.06","3,529.05"
2008,West Virginia,"3,524.50","2,693.94","6,218.44","1,934.88","1,512.73","3,447.61"
2009,West Virginia,"3,399.98","2,732.98","6,132.96","1,852.42","1,480.90","3,333.32"
2010,West Virginia,"3,500.34","2,796.51","6,296.85","1,895.94","1,496.25","3,392.19"
2011,West Virginia,"3,616.26","2,933.50","6,549.76","1,863.35","1,535.40","3,398.75"
2012,West Virginia,"3,631.41","3,073.14","6,704.55","1,821.93","1,565.41","3,387.34"
2013,West Virginia,"3,640.09","3,189.42","6,829.51","1,804.83","1,588.19","3,393.02"
2014,West Virginia,"3,675.05","3,323.81","6,998.86","1,778.82","1,617.02","3,395.84"
2015,West Virginia,"3,670.32","3,571.01","7,241.33","1,758.38","1,685.83","3,444.21"
2016,West Virginia,"3,734.05","3,709.85","7,443.90","1,814.69","1,717.06","3,531.75"
2017,West Virginia,"3,761.89","3,871.32","7,633.21","1,832.29","1,756.43","3,588.72"
2018,West Virginia,"3,818.07","3,964.25","7,782.32","1,854.11","1,761.42","3,615.53"
2019,West Virginia,"3,809.42","4,120.43","7,929.85","1,837.26","1,776.21","3,613.47"
2020,West Virginia,"3,979.33","3,812.40","7,791.73","1,853.97","1,599.75","3,453.72"
2021,West Virginia,"4,254.95","4,646.49","8,901.44","1,916.56","1,877.15","3,793.71"
2022,West Virginia,"4,612.45","4,859.58","9,472.03","1,865.33","1,821.68","3,687.01"
2023,West Virginia,"4,486.56","5,090.30","9,576.86","1,722.38","1,781.44","3,503.82"
2024,West Virginia,"4,370.24","5,106.08","9,476.32","1,657.11","1,720.13","3,377.24"
1997,Wisconsin,"7,141.11","4,953.84","12,094.95","5,340.75","3,777.86","9,118.61"
1998,Wisconsin,"7,297.54","5,227.02","12,524.56","5,360.22","3,885.66","9,245.88"
1999,Wisconsin,"7,707.92","5,567.77","13,275.69","5,544.88","4,037.14","9,582.02"
2000,Wisconsin,"8,169.64","5,969.46","14,139.10","5,744.20","4,209.33","9,953.53"
2001,Wisconsin,"8,484.49","6,259.73","14,744.22","5,785.33","4,290.83","10,076.16"
2002,Wisconsin,"8,493.32","6,506.42","14,999.74","5,747.10","4,366.01","10,113.11"
2003,Wisconsin,"8,778.77","6,900.87","15,679.64","5,857.60","4,540.25","10,397.85"
2004,Wisconsin,"9,189.07","7,365.64","16,554.71","5,958.66","4,706.83","10,665.49"
2005,Wisconsin,"9,636.31","7,776.85","17,413.16","6,117.70","4,805.51","10,923.21"
2006,Wisconsin,"9,917.30","8,219.96","18,137.26","6,196.97","4,944.55","11,141.52"
2007,Wisconsin,"10,324.54","8,571.78","18,896.32","6,204.96","4,984.55","11,189.51"
2008,Wisconsin,"10,604.98","8,717.74","19,322.72","5,990.04","4,840.02","10,830.06"
2009,Wisconsin,"10,278.66","8,704.41","18,983.07","5,751.18","4,658.71","10,409.89"
2010,Wisconsin,"10,476.84","8,915.67","19,392.51","5,836.01","4,719.89","10,555.90"
2011,Wisconsin,"10,994.03","9,293.22","20,287.25","5,849.11","4,798.86","10,647.97"
2012,Wisconsin,"11,675.55","9,680.71","21,356.26","6,053.10","4,857.66","10,910.76"
2013,Wisconsin,"12,052.72","10,122.72","22,175.44","6,214.27","4,959.77","11,174.04"
2014,Wisconsin,"12,576.44","10,695.46","23,271.90","6,327.19","5,099.46","11,426.65"
2015,Wisconsin,"12,633.46","11,634.87","24,268.33","6,320.96","5,382.88","11,703.84"
2016,Wisconsin,"12,954.38","12,259.87","25,214.25","6,568.88","5,530.56","12,099.44"
2017,Wisconsin,"13,266.30","13,033.91","26,300.21","6,751.13","5,783.10","12,534.23"
2018,Wisconsin,"13,655.52","13,511.55","27,167.07","6,947.18","5,855.05","12,802.23"
2019,Wisconsin,"13,861.88","14,011.05","27,872.93","7,017.58","5,913.51","12,931.09"
2020,Wisconsin,"14,769.48","12,558.86","27,328.34","7,267.27","5,168.94","12,436.21"
2021,Wisconsin,"15,592.89","15,222.10","30,814.99","7,418.03","5,961.80","13,379.83"
2022,Wisconsin,"17,305.95","17,070.31","34,376.26","7,295.08","6,148.67","13,443.75"
2023,Wisconsin,"17,661.85","17,969.08","35,630.93","7,075.98","6,059.63","13,135.61"
2024,Wisconsin,"18,132.04","18,470.47","36,602.51","7,184.18","6,019.67","13,203.85"
1997,Wyoming,834.1,612.16,"1,446.26",596.37,477.76,"1,074.13"
1998,Wyoming,857.1,636.86,"1,493.96",594.56,484.11,"1,078.67"
1999,Wyoming,911.67,670.06,"1,581.73",619.85,498.59,"1,118.44"
2000,Wyoming,966.36,716.74,"1,683.10",643.87,521.66,"1,165.53"
2001,Wyoming,"1,036.62",725.42,"1,762.04",662.98,511.81,"1,174.79"
2002,Wyoming,"1,074.61",770.14,"1,844.75",674.67,526.02,"1,200.69"
2003,Wyoming,"1,104.06",803.75,"1,907.81",674.96,538.53,"1,213.49"
2004,Wyoming,"1,173.95",855.2,"2,029.15",691.89,555.91,"1,247.80"
2005,Wyoming,"1,230.90",895.83,"2,126.73",718.9,562.18,"1,281.08"
2006,Wyoming,"1,286.95",937.28,"2,224.23",742.69,571.43,"1,314.12"
2007,Wyoming,"1,284.58",986.18,"2,270.76",707.99,580.44,"1,288.43"
2008,Wyoming,"1,343.93","1,038.42","2,382.35",697.66,588.79,"1,286.45"
2009,Wyoming,"1,284.66","1,038.24","2,322.90",671.78,570.9,"1,242.68"
2010,Wyoming,"1,297.94","1,062.12","2,360.06",682.82,577.26,"1,260.08"
2011,Wyoming,"1,326.18","1,116.45","2,442.63",665.17,593.47,"1,258.64"
2012,Wyoming,"1,378.05","1,182.47","2,560.52",678.94,609.9,"1,288.84"
2013,Wyoming,"1,411.39","1,245.27","2,656.66",689.2,629.04,"1,318.24"
2014,Wyoming,"1,460.86","1,328.02","2,788.88",693.98,654.66,"1,348.64"
2015,Wyoming,"1,492.77","1,446.04","2,938.81",697.45,692.92,"1,390.37"
2016,Wyoming,"1,493.88","1,483.85","2,977.73",706.08,688.45,"1,394.53"
2017,Wyoming,"1,524.83","1,564.66","3,089.49",722.94,702.9,"1,425.84"
2018,Wyoming,"1,567.83","1,623.41","3,191.24",740.09,705.27,"1,445.36"
2019,Wyoming,"1,597.43","1,701.95","3,299.38",742.74,714,"1,456.74"
2020,Wyoming,"1,722.82","1,642.75","3,365.57",770.33,658.98,"1,429.31"
2021,Wyoming,"1,840.38","2,105.12","3,945.50",788.5,805.2,"1,593.70"
2022,Wyoming,"2,092.94","2,271.66","4,364.60",804.92,809.9,"1,614.82"
2023,Wyoming,"2,128.28","2,373.46","4,501.74",782.3,787.51,"1,569.81"
2024,Wyoming,"2,171.93","2,410.33","4,582.26",787.33,764.41,"1,551.74"
